HKWorkoutActivityTypeHighIntensityIntervalTraining,42.9712078332901,min,2021-05-01 23:10:38 +0800,2021-05-01 22:27:39 +0800,2021-05-01 23:10:37 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,39.87602529923121,min,2021-05-02 22:46:37 +0800,2021-05-02 22:06:43 +0800,2021-05-02 22:46:36 +0800
HKWorkoutActivityTypeSwimming,50.10830356677373,min,2021-05-03 08:44:24 +0800,2021-05-03 07:54:17 +0800,2021-05-03 08:44:24 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,38.16368188460668,min,2021-05-04 22:48:13 +0800,2021-05-04 22:10:03 +0800,2021-05-04 22:48:12 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,36.35381794969241,min,2021-05-05 22:36:09 +0800,2021-05-05 21:59:47 +0800,2021-05-05 22:36:08 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,40.27974154949188,min,2021-05-06 22:35:36 +0800,2021-05-06 21:55:11 +0800,2021-05-06 22:35:35 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,25.01644895076752,min,2021-05-08 08:55:38 +0800,2021-05-08 08:30:36 +0800,2021-05-08 08:55:37 +0800
HKWorkoutActivityTypeSwimming,52.97376408179601,min,2021-05-09 08:40:27 +0800,2021-05-09 07:47:28 +0800,2021-05-09 08:40:27 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,28.88128165006638,min,2021-05-12 09:02:27 +0800,2021-05-12 08:33:34 +0800,2021-05-12 09:02:27 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,25.87387263377508,min,2021-05-13 08:59:53 +0800,2021-05-13 08:34:00 +0800,2021-05-13 08:59:53 +0800
HKWorkoutActivityTypeWalking,102.6528116663297,min,2021-05-13 21:00:55 +0800,2021-05-13 19:18:11 +0800,2021-05-13 21:00:54 +0800
HKWorkoutActivityTypeSwimming,52.11438456575076,min,2021-05-15 08:43:31 +0800,2021-05-15 07:51:23 +0800,2021-05-15 08:43:30 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,38.01205224990845,min,2021-05-16 22:47:29 +0800,2021-05-16 22:09:28 +0800,2021-05-16 22:47:28 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,23.15674181580544,min,2021-05-18 08:57:40 +0800,2021-05-18 08:34:22 +0800,2021-05-18 08:57:39 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,28.03276570041974,min,2021-05-19 09:09:17 +0800,2021-05-19 08:41:15 +0800,2021-05-19 09:09:17 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,27.99787551561991,min,2021-05-20 08:57:48 +0800,2021-05-20 08:29:48 +0800,2021-05-20 08:57:48 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,27.87863896687826,min,2021-05-21 08:45:43 +0800,2021-05-21 08:17:50 +0800,2021-05-21 08:45:43 +0800
HKWorkoutActivityTypeSwimming,52.00301676591237,min,2021-05-22 08:43:25 +0800,2021-05-22 07:51:24 +0800,2021-05-22 08:43:25 +0800
HKWorkoutActivityTypeSwimming,66.9632885158062,min,2021-05-23 21:05:18 +0800,2021-05-23 19:58:19 +0800,2021-05-23 21:05:17 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,39.8808664004008,min,2021-05-23 22:20:46 +0800,2021-05-23 21:40:52 +0800,2021-05-23 22:20:45 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,36.9019394993782,min,2021-05-24 22:22:02 +0800,2021-05-24 21:45:07 +0800,2021-05-24 22:22:01 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,35.87591293255488,min,2021-05-25 22:25:01 +0800,2021-05-25 21:49:08 +0800,2021-05-25 22:25:00 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,36.96753161549568,min,2021-05-26 22:49:54 +0800,2021-05-26 22:12:55 +0800,2021-05-26 22:49:53 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,32.34497290054957,min,2021-05-28 19:45:38 +0800,2021-05-28 19:13:17 +0800,2021-05-28 19:45:37 +0800
HKWorkoutActivityTypeSwimming,52.02618184884389,min,2021-05-29 08:45:43 +0800,2021-05-29 07:53:41 +0800,2021-05-29 08:45:42 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,36.87849904894829,min,2021-05-30 22:08:58 +0800,2021-05-30 21:32:04 +0800,2021-05-30 22:08:57 +0800
HKWorkoutActivityTypeSoccer,1.756282832225164,min,2021-05-31 20:17:03 +0800,2021-05-31 19:15:53 +0800,2021-05-31 20:17:03 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,28.01118526657422,min,2021-06-03 09:09:13 +0800,2021-06-03 08:41:12 +0800,2021-06-03 09:09:12 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,25.87536526521047,min,2021-06-04 09:04:37 +0800,2021-06-04 08:38:44 +0800,2021-06-04 09:04:37 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,29.51894006729126,min,2021-06-05 14:32:09 +0800,2021-06-05 10:19:56 +0800,2021-06-05 14:32:09 +0800
HKWorkoutActivityTypeSwimming,52.89739436507225,min,2021-06-06 16:50:41 +0800,2021-06-06 15:57:46 +0800,2021-06-06 16:50:40 +0800
HKWorkoutActivityTypeSoccer,62.87424326737722,min,2021-06-07 20:34:01 +0800,2021-06-07 19:31:08 +0800,2021-06-07 20:34:00 +0800
HKWorkoutActivityTypeWalking,121.614095334212,min,2021-06-10 21:16:32 +0800,2021-06-10 19:14:53 +0800,2021-06-10 21:16:30 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,39.87475278377533,min,2021-06-12 22:30:53 +0800,2021-06-12 21:51:00 +0800,2021-06-12 22:30:53 +0800
HKWorkoutActivityTypeSwimming,52.02603388428688,min,2021-06-14 08:39:28 +0800,2021-06-14 07:47:26 +0800,2021-06-14 08:39:27 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,39.65767131646474,min,2021-06-14 22:20:44 +0800,2021-06-14 21:41:00 +0800,2021-06-14 22:20:44 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,45.86608613332113,min,2021-06-19 22:25:39 +0800,2021-06-19 21:39:46 +0800,2021-06-19 22:25:38 +0800
HKWorkoutActivityTypeSwimming,51.87060868342717,min,2021-06-20 08:40:09 +0800,2021-06-20 07:48:16 +0800,2021-06-20 08:40:08 +0800
HKWorkoutActivityTypeSoccer,71.73074740171432,min,2021-06-21 20:04:26 +0800,2021-06-21 18:52:41 +0800,2021-06-21 20:04:25 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,27.88819733460744,min,2021-06-23 09:18:19 +0800,2021-06-23 08:50:25 +0800,2021-06-23 09:18:18 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,25.87637803355853,min,2021-06-25 09:02:36 +0800,2021-06-25 08:36:43 +0800,2021-06-25 09:02:35 +0800
HKWorkoutActivityTypeSwimming,52.80161265134812,min,2021-06-26 08:51:26 +0800,2021-06-26 07:57:35 +0800,2021-06-26 08:51:25 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,36.87596446673076,min,2021-06-27 22:38:55 +0800,2021-06-27 22:02:02 +0800,2021-06-27 22:38:55 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,30.89719083309173,min,2021-06-30 09:22:46 +0800,2021-06-30 08:51:52 +0800,2021-06-30 09:22:46 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,28.87998205025991,min,2021-07-01 08:55:17 +0800,2021-07-01 08:26:23 +0800,2021-07-01 08:55:16 +0800
HKWorkoutActivityTypeSwimming,52.93953293164571,min,2021-07-03 21:20:07 +0800,2021-07-03 20:27:09 +0800,2021-07-03 21:20:06 +0800
HKWorkoutActivityTypeSwimming,52.87767543395361,min,2021-07-04 08:37:20 +0800,2021-07-04 07:44:26 +0800,2021-07-04 08:37:19 +0800
HKWorkoutActivityTypeSwimming,52.87535674969355,min,2021-07-04 21:22:56 +0800,2021-07-04 20:30:02 +0800,2021-07-04 21:22:55 +0800
HKWorkoutActivityTypeSoccer,71.48208439946174,min,2021-07-05 20:27:08 +0800,2021-07-05 19:15:37 +0800,2021-07-05 20:27:06 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,24.87226269841194,min,2021-07-06 08:47:14 +0800,2021-07-06 08:22:05 +0800,2021-07-06 08:47:14 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,28.89794993201891,min,2021-07-08 08:45:53 +0800,2021-07-08 08:16:59 +0800,2021-07-08 08:45:53 +0800
HKWorkoutActivityTypeWalking,126.0889360328515,min,2021-07-08 21:12:28 +0800,2021-07-08 19:06:21 +0800,2021-07-08 21:12:26 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,35.87698481678963,min,2021-07-09 22:25:03 +0800,2021-07-09 21:49:10 +0800,2021-07-09 22:25:02 +0800
HKWorkoutActivityTypeSwimming,52.86799495021502,min,2021-07-10 08:43:02 +0800,2021-07-10 07:50:09 +0800,2021-07-10 08:43:01 +0800
HKWorkoutActivityTypeSwimming,52.95973691542943,min,2021-07-10 21:27:00 +0800,2021-07-10 20:34:01 +0800,2021-07-10 21:26:59 +0800
HKWorkoutActivityTypeSwimming,52.87344943284988,min,2021-07-11 21:22:24 +0800,2021-07-11 20:29:31 +0800,2021-07-11 21:22:23 +0800
